x_codigo,x_zipcode_id,x_colonia,x_name
3475,34168,Ampliación Las Rosas,3475 - Ampliación Las Rosas
3475,41755,San Jerónimo,3475 - San Jerónimo
3475,43037,La Coneja,3475 - La Coneja
3475,49310,Rinconada Cruz Blanca,3475 - Rinconada Cruz Blanca
3475,59833,La Luz,3475 - La Luz
3475,64349,Puerta de Hierro,3475 - Puerta de Hierro
3475,70380,Istmeña,3475 - Istmeña
3475,73310,Xiutepec,3475 - Xiutepec
3475,79556,Los Pilares,3475 - Los Pilares
3475,85224,Campo Chacón II,3475 - Campo Chacón II
3475,89605,Loma Bonita,3475 - Loma Bonita
3475,95740,Pueblo Nuevo,3475 - Pueblo Nuevo
3476,26605,Casa Blanca Dos,3476 - Casa Blanca Dos
3476,30595,La Vieja Libertad,3476 - La Vieja Libertad
3476,34015,Ladera del Pedregal,3476 - Ladera del Pedregal
3476,38324,Ejidal,3476 - Ejidal
3476,41760,San Pedro Cuitlapa,3476 - San Pedro Cuitlapa
3476,43038,La Carolina,3476 - La Carolina
3476,49312,El Amaqueño,3476 - El Amaqueño
3476,59820,Isabel La Católica,3476 - Isabel La Católica
3476,64103,Venustiano Carranza,3476 - Venustiano Carranza
3476,70110,Sección 1a,3476 - Sección 1a
3476,73310,Central Camionera,3476 - Central Camionera
3476,79547,Los Terreros,3476 - Los Terreros
3476,85234,Campo Cuauhtémoc,3476 - Campo Cuauhtémoc
3476,95740,San Andres,3476 - San Andres
3477,26636,Celso Frías,3477 - Celso Frías
3477,30596,Buenavista,3477 - Buenavista
3477,38349,Tabachines,3477 - Tabachines
3477,41761,Rancho Viejo,3477 - Rancho Viejo
3477,43037,La Cuchilla,3477 - La Cuchilla
3477,49312,Dolores Paniagua de García Barragán,3477 - Dolores Paniagua de García Barragán
3477,59820,Los Solares,3477 - Los Solares
3477,64103,Josefa Ortiz de Dominguez,3477 - Josefa Ortiz de Dominguez
3477,70110,Sección 2a,3477 - Sección 2a
3477,73310,El Progreso,3477 - El Progreso
3477,79547,Magdaleno de la Rosa,3477 - Magdaleno de la Rosa
3477,85226,Campo de Guillermo Giesecke,3477 - Campo de Guillermo Giesecke
3477,89606,Los Encinos Residencial,3477 - Los Encinos Residencial
3477,95746,Chichipilco,3477 - Chichipilco
3478,26605,Chupadero,3478 - Chupadero
3478,30596,Las Cruces,3478 - Las Cruces
3478,38346,San Vicente,3478 - San Vicente
3478,41762,La Trinidad,3478 - La Trinidad
3478,43037,Las Víboras,3478 - Las Víboras
3478,49303,27 de Septiembre,3478 - 27 de Septiembre
3478,55050,Adolfo Ruiz Cortines,3478 - Adolfo Ruiz Cortines
3478,64103,Cuauhtémoc,3478 - Cuauhtémoc
3478,70110,Sección 3a,3478 - Sección 3a
3478,73310,7 de Enero,3478 - 7 de Enero
3478,79557,Nazario Bravo,3478 - Nazario Bravo
3478,85224,Campo de Jesés Almada,3478 - Campo de Jesés Almada
3478,89606,Lomas Campestre,3478 - Lomas Campestre
3479,26636,Conrado Arizpe,3479 - Conrado Arizpe
3479,30596,Las Cadenas,3479 - Las Cadenas
3479,38344,Nueva San Francisco,3479 - Nueva San Francisco
3479,41762,Santa Cruz Yucucani,3479 - Santa Cruz Yucucani
3479,43038,Lomas Altas,3479 - Lomas Altas
3479,49303,Santa Maria,3479 - Santa Maria
3479,55050,Aquiles Serdán,3479 - Aquiles Serdán
3479,59810,Las Flores,3479 - Las Flores
3479,64103,Eugenio Garza Sada,3479 - Eugenio Garza Sada
3479,70110,Sección 4a,3479 - Sección 4a
3479,73310,Lomas del Calvario,3479 - Lomas del Calvario
3479,79546,Ninguno [Trituradora de Mármol],3479 - Ninguno [Trituradora de Mármol]
3479,85226,Campo de Remigio González,3479 - Campo de Remigio González
3479,89603,San Jacinto,3479 - San Jacinto
3479,95748,San Juan,3479 - San Juan
3480,26607,Conrado Martínez,3480 - Conrado Martínez
3480,30596,Rosario Zacatonal,3480 - Rosario Zacatonal
3480,35168,U H SARH,3480 - U H SARH
3480,38344,Las Flores,3480 - Las Flores
