x_name,x_state_id,x_cnbv,x_impacto,x_localidad,x_municipio
68436,Oaxaca,02409003,1,,009 - Ayotzintepec
68437,Oaxaca,02409003,1,,009 - Ayotzintepec
68438,Oaxaca,02409003,1,,009 - Ayotzintepec
68440,Oaxaca,02999007,1,,184 - San Juan Bautista Tuxtepec
68442,Oaxaca,02999007,1,,184 - San Juan Bautista Tuxtepec
68443,Oaxaca,02999007,1,,184 - San Juan Bautista Tuxtepec
68444,Oaxaca,02999007,1,,184 - San Juan Bautista Tuxtepec
68445,Oaxaca,02999007,1,,184 - San Juan Bautista Tuxtepec
68446,Oaxaca,02999007,1,,184 - San Juan Bautista Tuxtepec
68447,Oaxaca,02999007,1,,184 - San Juan Bautista Tuxtepec
68448,Oaxaca,02999007,1,,184 - San Juan Bautista Tuxtepec
68449,Oaxaca,02999007,1,,184 - San Juan Bautista Tuxtepec
68450,Oaxaca,02711007,1,,309 - San Pedro Ixcatlán
68451,Oaxaca,02711007,1,,309 - San Pedro Ixcatlán
68452,Oaxaca,02711007,1,,309 - San Pedro Ixcatlán
68455,Oaxaca,02711007,1,,309 - San Pedro Ixcatlán
68456,Oaxaca,02565009,1,,166 - San José Chiltepec
68457,Oaxaca,02565009,1,,166 - San José Chiltepec
68458,Oaxaca,02565009,1,,166 - San José Chiltepec
68459,Oaxaca,02565009,1,,166 - San José Chiltepec
68460,Oaxaca,02533005,1,12 - San Felipe Jalapa de Díaz,134 - San Felipe Jalapa de Díaz
68462,Oaxaca,02533005,1,,134 - San Felipe Jalapa de Díaz
68463,Oaxaca,02533005,1,,134 - San Felipe Jalapa de Díaz
68464,Oaxaca,02533005,1,,134 - San Felipe Jalapa de Díaz
68465,Oaxaca,02819004,1,,417 - Santa María Jacatepec
68466,Oaxaca,02819004,1,,417 - Santa María Jacatepec
68467,Oaxaca,02819004,1,,417 - Santa María Jacatepec
68468,Oaxaca,02819004,1,,417 - Santa María Jacatepec
68470,Oaxaca,02633004,1,,232 - San Lucas Ojitlán
68472,Oaxaca,02633004,1,,232 - San Lucas Ojitlán
68473,Oaxaca,02633004,1,,232 - San Lucas Ojitlán
68474,Oaxaca,02633004,1,,232 - San Lucas Ojitlán
68475,Oaxaca,02633004,1,,232 - San Lucas Ojitlán
68476,Oaxaca,02633004,1,,232 - San Lucas Ojitlán
68477,Oaxaca,02633004,1,,232 - San Lucas Ojitlán
68479,Oaxaca,02633004,1,,232 - San Lucas Ojitlán
68480,Oaxaca,02999007,1,47 - San Juan Bautista Valle Nacional,559 - San Juan Bautista Valle Nacional
68482,Oaxaca,02999007,1,,559 - San Juan Bautista Valle Nacional
68483,Oaxaca,02999007,1,,559 - San Juan Bautista Valle Nacional
68484,Oaxaca,02999007,1,,559 - San Juan Bautista Valle Nacional
68485,Oaxaca,02999007,1,,559 - San Juan Bautista Valle Nacional
68486,Oaxaca,02999007,1,,559 - San Juan Bautista Valle Nacional
68487,Oaxaca,02999007,1,,559 - San Juan Bautista Valle Nacional
68488,Oaxaca,02999007,1,,559 - San Juan Bautista Valle Nacional
68490,Oaxaca,02535003,1,,136 - San Felipe Usila
68491,Oaxaca,02535003,1,,136 - San Felipe Usila
68492,Oaxaca,02535003,1,,136 - San Felipe Usila
68493,Oaxaca,02535003,1,,136 - San Felipe Usila
68494,Oaxaca,02535003,1,,136 - San Felipe Usila
68495,Oaxaca,02535003,1,,136 - San Felipe Usila
68496,Oaxaca,02535003,1,,136 - San Felipe Usila
68497,Oaxaca,02535003,1,,136 - San Felipe Usila
68500,Oaxaca,02440002,1,,041 - Huautla de Jiménez
68501,Oaxaca,02440002,1,,041 - Huautla de Jiménez
68502,Oaxaca,02440002,1,,041 - Huautla de Jiménez
68503,Oaxaca,02440002,1,,041 - Huautla de Jiménez
68504,Oaxaca,02440002,1,,041 - Huautla de Jiménez
68505,Oaxaca,02440002,1,,041 - Huautla de Jiménez
68506,Oaxaca,02440002,1,,041 - Huautla de Jiménez
68508,Oaxaca,02440002,1,,041 - Huautla de Jiménez
68510,Oaxaca,02808009,1,,406 - Santa María Chilchotla
68511,Oaxaca,02808009,1,,406 - Santa María Chilchotla
68512,Oaxaca,02808009,1,,406 - Santa María Chilchotla
68513,Oaxaca,02808009,1,,406 - Santa María Chilchotla
68514,Oaxaca,02808009,1,,406 - Santa María Chilchotla
68515,Oaxaca,02754009,1,,354 - Santa Ana Ateixtlahuaca
68518,Oaxaca,02629005,1,,228 - San Lorenzo Cuaunecuiltitla
68520,Oaxaca,02541006,1,,142 - San Francisco Huehuetlán
68523,Oaxaca,02541006,1,,142 - San Francisco Huehuetlán
68524,Oaxaca,02723007,1,,322 - San Pedro Ocopetatillo
68527,Oaxaca,02774007,1,,374 - Santa Cruz Acatepec
68530,Oaxaca,02428002,1,,029 - Eloxochitlán de Flores Magón
68534,Oaxaca,02428002,1,,029 - Eloxochitlán de Flores Magón
68535,Oaxaca,02892006,1,,490 - Santiago Texcalcingo
68540,Oaxaca,02948007,1,19 - Teotitlán de Flores Magón,545 - Teotitlán de Flores Magón
68542,Oaxaca,02948007,1,,545 - Teotitlán de Flores Magón
68543,Oaxaca,02948007,1,,545 - Teotitlán de Flores Magón
68544,Oaxaca,02836008,1,,434 - Santa María Teopoxco
68545,Oaxaca,02836008,1,,434 - Santa María Teopoxco
68547,Oaxaca,02645004,1,,244 - San Martín Toxpalan
68548,Oaxaca,02645004,1,,244 - San Martín Toxpalan
68550,Oaxaca,02562003,1,,163 - San Jerónimo Tecóatl
68551,Oaxaca,02562003,1,,163 - San Jerónimo Tecóatl
68552,Oaxaca,02562003,1,,163 - San Jerónimo Tecóatl
68553,Oaxaca,02796003,1,,396 - Santa María la Asunción
68555,Oaxaca,02439009,1,,040 - Huautepec
68557,Oaxaca,02586006,1,,187 - San Juan Coatzóspam
68558,Oaxaca,02586006,1,,187 - San Juan Coatzóspam
68560,Oaxaca,02635005,1,,234 - San Lucas Zoquiápam
68561,Oaxaca,02635005,1,,234 - San Lucas Zoquiápam
68562,Oaxaca,02635005,1,,234 - San Lucas Zoquiápam
68563,Oaxaca,02635005,1,,234 - San Lucas Zoquiápam
68564,Oaxaca,02635005,1,,234 - San Lucas Zoquiápam
68565,Oaxaca,02509002,1,,109 - San Antonio Nanahuatípam
68569,Oaxaca,02509002,1,,109 - San Antonio Nanahuatípam
68570,Oaxaca,02570001,1,,171 - San José Tenango
68571,Oaxaca,02570001,1,,171 - San José Tenango
68572,Oaxaca,02570001,1,,171 - San José Tenango
68573,Oaxaca,02570001,1,,171 - San José Tenango
68574,Oaxaca,02570001,1,,171 - San José Tenango
68575,Oaxaca,02650002,1,,249 - San Mateo Yoloxochitlán
68577,Oaxaca,02516001,1,,116 - San Bartolomé Ayautla
68578,Oaxaca,02516001,1,,116 - San Bartolomé Ayautla
68580,Oaxaca,02999007,1,,058 - Mazatlán Villa de Flores
68582,Oaxaca,02999007,1,,058 - Mazatlán Villa de Flores
68583,Oaxaca,02999007,1,,058 - Mazatlán Villa de Flores
68584,Oaxaca,02999007,1,,058 - Mazatlán Villa de Flores
68585,Oaxaca,02999007,1,,206 - San Juan de los Cués
68588,Oaxaca,02999007,1,,206 - San Juan de los Cués
68590,Oaxaca,02833002,1,,431 - Santa María Tecomavaca
68595,Oaxaca,02818005,1,,416 - Santa María Ixcatlán
68600,Oaxaca,02576004,1,,177 - San Juan Bautista Cuicatlán
68601,Oaxaca,02576004,1,,177 - San Juan Bautista Cuicatlán
68602,Oaxaca,02576004,1,,177 - San Juan Bautista Cuicatlán
68603,Oaxaca,02576004,1,,177 - San Juan Bautista Cuicatlán
68604,Oaxaca,02576004,1,,177 - San Juan Bautista Cuicatlán
68605,Oaxaca,02576004,1,,177 - San Juan Bautista Cuicatlán
68606,Oaxaca,02576004,1,21 - San Juan Bautista Cuicatlán,177 - San Juan Bautista Cuicatlán
68607,Oaxaca,02576004,1,21 - San Juan Bautista Cuicatlán,177 - San Juan Bautista Cuicatlán
68609,Oaxaca,02576004,1,21 - San Juan Bautista Cuicatlán,177 - San Juan Bautista Cuicatlán
68610,Oaxaca,02999007,1,,024 - Cuyamecalco Villa de Zaragoza
68611,Oaxaca,02999007,1,,024 - Cuyamecalco Villa de Zaragoza
68612,Oaxaca,02999007,1,,024 - Cuyamecalco Villa de Zaragoza
68614,Oaxaca,02755008,1,,355 - Santa Ana Cuauhtémoc
68617,Oaxaca,02426007,1,,027 - Chiquihuitlán de Benito Juárez
68618,Oaxaca,02426007,1,,027 - Chiquihuitlán de Benito Juárez
68620,Oaxaca,02731002,1,,330 - San Pedro Teutila
68621,Oaxaca,02731002,1,,330 - San Pedro Teutila
68622,Oaxaca,02731002,1,,330 - San Pedro Teutila
68624,Oaxaca,02677005,1,,276 - San Miguel Santa Flor
